Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Liga Regular Único,"HERMOSA MONREAL, NEREA",CASADEMONT ZARAGOZA,2,25,"0,08"
2024,Liga Regular Único,"NELSON, CHELSEA KEIANA",HOZONO GLOBAL JAIRIS,1,15,"0,07"
2024,Liga Regular Único,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,2,28,"0,07"
2024,Liga Regular Único,"TATE, IMANI TY LEAH",OSES CONSTRUCCION,1,16,"0,06"
2024,Liga Regular Único,"BREWER, BRITTANY AUTUMN",KUTXABANK ARASKI,1,28,"0,04"
2024,Liga Regular Único,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,1,27,"0,04"
2024,Liga Regular Único,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,1,27,"0,04"
2024,Liga Regular Único,"VAN DEN ADEL, NATALIE ISABELLE",KUTXABANK ARASKI,1,28,"0,04"
2024,Liga Regular Único,"COTANO DE JUAN, REBECA",CLUB JOVENTUT BADALONA,1,28,"0,04"
2024,Liga Regular Único,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,1,28,"0,04"
2024,Liga Regular Único,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,1,29,"0,03"
2024,Liga Regular Único,"HRISTOVA, BORISLAVA",SPAR GIRONA,1,30,"0,03"
2024,Liga Regular Único,"SORIANO PEREZ, CLAUDIA",DURÁN MAQUINARIA ENSINO,1,30,"0,03"
2024,Liga Regular Único,"BUHNER, FRIEDA MIZZI",MOVISTAR ESTUDIANTES,1,30,"0,03"
2024,Liga Regular Único,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,1,30,"0,03"
2024,Liga Regular Único,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,1,30,"0,03"
2024,Liga Regular Único,"ETXARRI MUNARRIZ, IRATI",LOINTEK GERNIKA BIZKAIA,1,30,"0,03"
2024,Liga Regular Único,"HILL, SAMANTHA ELIZABETH HOLLIDAY",KUTXABANK ARASKI,1,30,"0,03"
2024,Liga Regular Único,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,1,29,"0,03"
2024,Liga Regular Único,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,1,30,"0,03"
2024,Liga Regular Único,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,1,30,"0,03"
2024,Supercopa Final,"GATLING, MARKEISHA CHERTE",CASADEMONT ZARAGOZA,1,2,"0,5"
2024,Supercopa 1/2 Final,"GATLING, MARKEISHA CHERTE",CASADEMONT ZARAGOZA,1,1,1
2023,Liga Regular Único,"FALL, SOKHNA ADJI",SPAR GRAN CANARIA,3,29,"0,1"
2023,Liga Regular Único,"FAM THIAM, AWA",VALENCIA B.C.,1,15,"0,07"
2023,Liga Regular Único,"MASSEY, BILLIE KIM",MOVISTAR ESTUDIANTES,2,30,"0,07"
2023,Liga Regular Único,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,2,30,"0,07"
2023,Liga Regular Único,"ERAUNCETAMURGIL AYESTARAN, MARIA",MOVISTAR ESTUDIANTES,1,15,"0,07"
2023,Liga Regular Único,"KONE , SIKA",PERFUMERIAS AVENIDA,2,29,"0,07"
2023,Liga Regular Único,"DIARRA, MAIMOUNA",HOZONO GLOBAL JAIRIS,1,22,"0,05"
2023,Liga Regular Único,"WATTS, STEPHANIE COURTNEY",LOINTEK GERNIKA BIZKAIA,1,21,"0,05"
2023,Liga Regular Único,"CRUZ LEBRATO, ANNA",BARÇA CBS,1,25,"0,04"
2023,Liga Regular Único,"RAKOVIC , KRISTINA",BARÇA CBS,1,28,"0,04"
2023,Liga Regular Único,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,1,30,"0,03"
2023,Liga Regular Único,"PALMA JORGE, ANA MARIA",CADI LA SEU,1,30,"0,03"
2023,Liga Regular Único,"MATAIX GUILL, ANGELA",BAXI FERROL,1,30,"0,03"
2023,Liga Regular Único,"FEQUIERE, JESSICA",BAXI FERROL,1,30,"0,03"
2023,Liga Regular Único,"ANDERSON, JOLENE NANCY",BARÇA CBS,1,30,"0,03"
2023,Liga Regular Único,"KALIN, MARIANNE FANNY",BAXI FERROL,1,30,"0,03"
2023,Liga Regular Único,"MILAPIE, MARIE MICHELLE",LOINTEK GERNIKA BIZKAIA,1,30,"0,03"
2023,Liga Regular Único,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,1,30,"0,03"
2023,Liga Regular Único,"BUCH ROSELL, ROSO",LOINTEK GERNIKA BIZKAIA,1,30,"0,03"
2022,Liga Regular Único,"KONE , SIKA",SPAR GRAN CANARIA,5,30,"0,17"
2022,Liga Regular Único,"GATLING, MARKEISHA CHERTE",CASADEMONT ZARAGOZA,3,20,"0,15"
2022,Liga Regular Único,"CVITKOVIC, ANDRIJANA",LOINTEK GERNIKA BIZKAIA,2,28,"0,07"
2022,Liga Regular Único,"MESKONYTE , GABIJA",LOINTEK GERNIKA BIZKAIA,2,28,"0,07"
2022,Liga Regular Único,"GONZALEZ DUARTE , LARA",CASADEMONT ZARAGOZA,2,29,"0,07"
2022,Liga Regular Único,"TOLO, MARIANNA",SPAR GIRONA,2,29,"0,07"
2022,Liga Regular Único,"HAMBLIN, RUTH ELIZABETH",BARÇA CBS,2,28,"0,07"
2022,Liga Regular Único,"FALL, SOKHNA ADJI",SPAR GRAN CANARIA,2,30,"0,07"
2022,Liga Regular Único,"WOJTA, JULIE NICOLE",LOINTEK GERNIKA BIZKAIA,1,17,"0,06"
2022,Liga Regular Único,"WATTS, STEPHANIE COURTNEY",CADI LA SEU,1,17,"0,06"
2022,Liga Regular Único,"ETXARRI MUNARRIZ, IRATI",SPAR GIRONA,1,20,"0,05"
2022,Liga Regular Único,"EVANS, SHANTE MARIE",HOZONO GLOBAL JAIRIS,1,19,"0,05"
2022,Liga Regular Único,"GERVASINI LACORZANA , AINHOA",EMBUTIDOS PAJARIEL BEMBIBRE PD,1,28,"0,04"
2022,Liga Regular Único,"WILLIAMS, BROOQUE CHRISTIA",LOINTEK GERNIKA BIZKAIA,1,28,"0,04"
2022,Liga Regular Único,"MURPHY, ESHAYA MARIE",SPAR GIRONA,1,27,"0,04"
2022,Liga Regular Único,"FIEBICH, LEONIE",CASADEMONT ZARAGOZA,1,23,"0,04"
2022,Liga Regular Único,"HERMIDA HERRAEZ, MARTA",INNOVA-TSN LEGANES,1,26,"0,04"
2022,Liga Regular Único,"BRCANINOVIC, MELISA",HOZONO GLOBAL JAIRIS,1,28,"0,04"
2022,Liga Regular Único,"STRAUTMANE, PAULA",CADI LA SEU,1,28,"0,04"
2022,Liga Regular Único,"CASAS CARRERAS, QUERALT",VALENCIA B.C.,1,28,"0,04"
2022,Liga Regular Único,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,1,28,"0,04"
2022,Liga Regular Único,"LABUCKIENE, GIEDRE",SPAR GIRONA,1,29,"0,03"
2022,Liga Regular Único,"WESTERIK, LAURA",EMBUTIDOS PAJARIEL BEMBIBRE PD,1,30,"0,03"
2022,Liga Regular Único,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,1,29,"0,03"
2022,Liga Regular Único,"ATKINSON, TANAYA MECHELLE",KUTXABANK ARASKI,1,29,"0,03"
2021,Play-Offs Final,"GARDNER, REBEKA JASMINE",SPAR GIRONA,2,3,"0,67"
2021,Play-Offs Final,"LABUCKIENE, GIEDRE",SPAR GIRONA,1,4,"0,25"
2021,Play-Offs 1/2 Final,"GARDNER, REBEKA JASMINE",SPAR GIRONA,2,3,"0,67"
2021,Play-Offs 1/2 Final,"LABUCKIENE, GIEDRE",SPAR GIRONA,1,4,"0,25"
2021,Liga Regular Único,"GIOMI, LYDIA MORA",SPAR GRAN CANARIA,6,30,"0,2"
2021,Liga Regular Único,"PIERRE LOUIS, VIONISE ARON'S",INNOVA-TSN LEGANÉS,2,16,"0,13"
2021,Liga Regular Único,"SANGARE, AMINATA BRAHIMA",CASADEMONT ZARAGOZA,1,16,"0,06"
2021,Liga Regular Único,"DE SANTIAGO OTERO, BEGOÑA",MOVISTAR ESTUDIANTES,1,20,"0,05"
2021,Liga Regular Único,"MUHATE PEÑA, CECILIA",INNOVA-TSN LEGANÉS,1,28,"0,04"
2021,Liga Regular Único,"PALAU ALTES, LAIA",SPAR GIRONA,1,27,"0,04"
2021,Liga Regular Único,"JESPERSEN, MARIA STEEN",INNOVA-TSN LEGANÉS,1,27,"0,04"
2021,Liga Regular Único,"COULIBALY, MARIAM ALOU",IDK EUSKOTREN,1,27,"0,04"
2021,Liga Regular Único,"HERMIDA HERRAEZ, MARTA",INNOVA-TSN LEGANÉS,1,28,"0,04"
2021,Liga Regular Único,"ALLEN, REBECCA",VALENCIA B.C.,1,24,"0,04"
2021,Liga Regular Único,"PALMA JORGE, ANA MARIA",EMBUTIDOS PAJARIEL BEMBIBRE PD,1,29,"0,03"
2021,Liga Regular Único,"PUJOL LLUCH, ARIADNA",CADI LA SEU,1,30,"0,03"
2021,Liga Regular Único,"MILLAN MODIA, BLANCA",SPAR GRAN CANARIA,1,30,"0,03"
2021,Liga Regular Único,"BRITO HERNANDEZ, CARLA",SPAR GRAN CANARIA,1,29,"0,03"
2021,Liga Regular Único,"WHITE, CHATRICE MARIE",DURÁN MAQUINARIA ENSINO,1,30,"0,03"
2021,Liga Regular Único,"OCETE CASTILLO, GABRIELA",TENERIFE,1,29,"0,03"
2021,Liga Regular Único,"TATE, IMANI TY LEAH",INNOVA-TSN LEGANÉS,1,30,"0,03"
2021,Liga Regular Único,"DONGUE, LEIA TANIA DO BASTIAO",KUTXABANK ARASKI,1,30,"0,03"
2021,Liga Regular Único,"ARROJO JIMENEZ, MARIA BELEN",LOINTEK GERNIKA BIZKAIA,1,30,"0,03"
2021,Liga Regular Único,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,1,30,"0,03"
2021,Liga Regular Único,"FINGALL, NADIA ANGELIQUE",MOVISTAR ESTUDIANTES,1,30,"0,03"
2021,Liga Regular Único,"GINZO ARANTES, PAULA",LOINTEK GERNIKA BIZKAIA,1,30,"0,03"
2021,Liga Regular Único,"GELDOF, SERENA LYNN PETRA",CAMPUS PROMETE,1,29,"0,03"
2021,Supercopa 1/2 Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,1,1,1
2021,Supercopa Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,1,2,"0,5"
2020,Play-Offs Final,"N'DIAYE, DJENEBA",SPAR GRAN CANARIA,2,2,1
2020,Play-Offs Final,"KNIGHT, LESLIE FAYE",MOVISTAR ESTUDIANTES,1,2,"0,5"
2020,Play-Offs Final,"ELONU, ADAORA NNENNA",SPAR GIRONA,1,4,"0,25"
2020,Play-Offs 1/2 Final,"N'DIAYE, DJENEBA",SPAR GRAN CANARIA,2,2,1
2020,Play-Offs 1/2 Final,"KNIGHT, LESLIE FAYE",MOVISTAR ESTUDIANTES,1,2,"0,5"
2020,Play-Offs 1/2 Final,"ELONU, ADAORA NNENNA",SPAR GIRONA,1,4,"0,25"
2020,Play-Offs 1/4 Final,"N'DIAYE, DJENEBA",SPAR GRAN CANARIA,2,2,1
2020,Play-Offs 1/4 Final,"ELONU, ADAORA NNENNA",SPAR GIRONA,1,2,"0,5"
2020,Play-Offs 1/4 Final,"KNIGHT, LESLIE FAYE",MOVISTAR ESTUDIANTES,1,2,"0,5"
2020,Liga Regular Único,"CAMARA, BATOULY FATOUMATA",EMBUTIDOS PAJARIEL BEMBIBRE PD,3,30,"0,1"
2020,Liga Regular Único,"HIGGS, LASHANN AISHA",EMBUTIDOS PAJARIEL BEMBIBRE PD,2,30,"0,07"
2020,Liga Regular Único,"COULIBALY, MARIAM ALOU",IDK EUSKOTREN,2,30,"0,07"
2020,Liga Regular Único,"KONE , SIKA",SPAR GRAN CANARIA,2,30,"0,07"
2020,Liga Regular Único,"KOVACEVIC, BOJANA",CAMPUS PROMETE,1,26,"0,04"
2020,Liga Regular Único,"HOF, EMESE EVA",PERFUMERIAS AVENIDA,1,28,"0,04"
2020,Liga Regular Único,"KNIGHT, LESLIE FAYE",MOVISTAR ESTUDIANTES,1,24,"0,04"
2020,Liga Regular Único,"PALMA JORGE, ANA MARIA",EMBUTIDOS PAJARIEL BEMBIBRE PD,1,30,"0,03"
2020,Liga Regular Único,"NYINGIFA, ATONYE JENNIFER",MOVISTAR ESTUDIANTES,1,29,"0,03"
2020,Liga Regular Único,"TRAHAN DAVIS, CELESTE",VALENCIA B.C.,1,30,"0,03"
2020,Liga Regular Único,"BROWN , JOY ALEXIS",KUTXABANK ARASKI,1,30,"0,03"
2020,Liga Regular Único,"JAMES, KAI AFI GNOZI NONI",SPAR GRAN CANARIA,1,30,"0,03"
2020,Liga Regular Único,"GARCÍA SALINERO, LAURA",IDK EUSKOTREN,1,30,"0,03"
2020,Liga Regular Único,"RODRIGUEZ MANSO, LEONOR DEL PILAR",PERFUMERIAS AVENIDA,1,30,"0,03"
2020,Liga Regular Único,"ERAUNCETAMURGIL AYESTARAN, MARIA",IDK EUSKOTREN,1,30,"0,03"
2020,Liga Regular Único,"KALIN, MARIANNE FANNY",EMBUTIDOS PAJARIEL BEMBIBRE PD,1,29,"0,03"
2020,Liga Regular Único,"TIRERA, MEIYA",IDK EUSKOTREN,1,30,"0,03"
2020,Liga Regular Único,"MILIC, NIKOLINA",PERFUMERIAS AVENIDA,1,29,"0,03"
2020,Liga Regular Único,"LO SYLLA, NOGAYE",LOINTEK GERNIKA BIZKAIA,1,29,"0,03"
2020,Liga Regular Único,"RHINE, SARA",EMBUTIDOS PAJARIEL BEMBIBRE PD,1,30,"0,03"
2020,Liga Regular Único,"GELDOF, SERENA LYNN PETRA",CADI LA SEU,1,30,"0,03"
2020,Liga Regular Único,"GOMES DA SILVA, SOFIA CAROLINA",MOVISTAR ESTUDIANTES,1,29,"0,03"
2020,Liga Regular Único,"ATKINSON, TANAYA MECHELLE",CIUDAD DE LA LAGUNA TENERIFE,1,30,"0,03"
2014,Liga Regular Único,"MAZIC, MIRNA",GERNIKA BIZKAIA,1,13,"0,08"
2014,Liga Regular Único,"CALVO DIAZ, ANA BEGOÑA",MANN-FILTER,1,26,"0,04"
2014,Liga Regular Único,"PIRSIC, SANDRA",ZAMARAT,1,25,"0,04"
2013,Play-Offs Final,"NICHOLLS GONZALEZ, LAURA",RIVAS ECOPOLIS,1,5,"0,2"
2009,REGULAR ÚNICO,"ARGÜELLO CUENCA, PATRICIA",GCANARIA 2014 CAJA DE CANARI,1,26,"0,04"
2008,REGULAR ÚNICO,"BELJANSKI, MILICA",REAL CLUB CELTA INDEPO,3,23,"0,13"
2008,REGULAR ÚNICO,"ROYO TORRES, MARIA ESTELA",MANN FILTER ZARAGOZA,2,26,"0,08"
2008,REGULAR ÚNICO,"STAMPALIJA, PETRA",PERFUMERIAS AVENIDA,1,26,"0,04"
2007,REGULAR ÚNICO,"PONS MOLINA, INGRID",EBE PROMOCIONES SANTA EULALIAI,1,26,"0,04"
2007,REGULAR ÚNICO,"SARENAC, RANKICA",RIVAS FUTURA,1,26,"0,04"
2006,REGULAR ÚNICO,"SANCHEZ FERNANDEZ, ISABEL",ACIS INCOSA LEON,7,26,"0,27"
2006,REGULAR ÚNICO,"CASTRO MARQUES, IZIANE",HONDARRIBIA-IRÚN,3,13,"0,23"
2006,REGULAR ÚNICO,"IVEZIC, JELENA",EBE PROMOCIONES-PDV STA.EULALI,2,25,"0,08"
2005,REGULAR,"DIENG, FATOU",EBE PROMOCIONES-PDV STA.EULALI,1,26,"0,04"
2005,REGULAR,"SALGADO SANCHEZ, IRENE",ACIS INCOSA LEON,1,26,"0,04"
2004,REGULAR,"BENNINGFIELD, JENNIFER ANN",USP CEU - ADECCO ESTUDIANTES,3,26,"0,12"
2004,REGULAR,"STARBIRD, CATHARINE EVELYN",USP CEU - ADECCO ESTUDIANTES,1,26,"0,04"
2003,LIGA REGULAR ÚNICO,"CEBRIAN SCHEURER, ELISABET",USP CEU - ADECCO ESTUDIANTES,8,26,"0,31"
2003,LIGA REGULAR ÚNICO,"GARCIA TORRES, CRISTINA",C.B. PUIG D`EN VALLS SANTA EUL,3,23,"0,13"
2003,LIGA REGULAR ÚNICO,"VILLAESCUSA GALERA, LAURA",RIVAS FUTURA,1,26,"0,04"
2002,LIGA REGULAR ÚNICO,"---, ELENA",FILTROS MANN ZARAGOZA,5,26,"0,19"
2002,LIGA REGULAR ÚNICO,"ANTOJA ROVIRA, LAURA",CADI LA SEU D´URGELL,1,26,"0,04"
2001,LIGA REGULAR ÚNICO,"DIETEL, ALKE",CBN,1,21,"0,05"
2001,LIGA REGULAR ÚNICO,"CABALLERO BASURTO, VIRGINIA",UNIVERSIDAD DE OVIEDO,1,19,"0,05"
2001,LIGA REGULAR ÚNICO,"TRANQUILLI, ALLISON",BALONCESTO CIUDAD DE BURGOS,1,26,"0,04"
2000,LIGA REGULAR,"REMIRO LEÓN, MARÍA",C.B.N.,4,26,"0,15"
2000,LIGA REGULAR,"LOPEZ VARGAS, MARIA DOLORES",ANDALUCIA SOLO HAY UNA,1,24,"0,04"
1999,LIGA REGULAR ÚNICO,"VALERO CEBRIAN, PILAR",R.CLUB CELTA BANCO SIMEON,3,20,"0,15"
1999,LIGA REGULAR ÚNICO,"ARMENTA MONTEAGUDO, MARUXA",C.D. ENSINO,1,25,"0,04"
1998,LIGA REGULAR,"VERDE ESPINOSA, PILAR",REAL CANOE,1,22,"0,05"
1998,LIGA REGULAR,"GRANDE FLORES, LAURA",BANCO SIMEON,1,24,"0,04"
1997,LIGA REGULAR,"FERRER ADELANTADO, MARIA TERESA",GODELLA,3,14,"0,21"
1997,LIGA REGULAR,"ALAMO GONZALEZ, ELENA",SANDRA G. CANARIA,1,12,"0,08"
1997,LIGA REGULAR,"EGLITE, LINDA",T. ROMA´S CANOE,1,13,"0,08"
1997,LIGA REGULAR,"ANULA ALAMEDA, NIEVES",POOL GETAFE,1,21,"0,05"
